#username	last_User_Dir	last_Server_Dir

filipa93	./home/filipa93	./MainServer/usr/filipa93
motagabriela	./home/motagabriela	./MainServer/usr/motagabriela
ncorreia	./home/ncorreia	./MainServer/usr/ncorreia
ritacarneiro	./home/ritacarneiro	./MainServer/usr/ritacarneiro
lourenco06	./home/lourenco06	./MainServer/usr/lourenco06
rodrigocorreia	./home/rodrigocorreia	./MainServer/usr/rodrigocorreia
amorimigor	./home/amorimigor	./MainServer/usr/amorimigor
tmatos	./home/tmatos	./MainServer/usr/tmatos
manuel82	./home/manuel82	./MainServer/usr/manuel82
leallucia	./home/leallucia	./MainServer/usr/leallucia
